 x	data2	data1	
3.7	0.0266296	0.16356	
3.71	0.0266562	0.165408	
3.72	0.0266829	0.167269	
3.73	0.0267096	0.169143	
3.74	0.0267363	0.171029	
3.75	0.0267631	0.172927	
3.76	0.0267898	0.174837	
3.77	0.0268167	0.176759	
3.78	0.0268435	0.178693	
3.79	0.0268703	0.180638	
3.8	0.0268972	0.182594	
3.81	0.0269241	0.184561	
3.82	0.0269511	0.18654	
3.83	0.026978	0.188529	
3.84	0.027005	0.190528	
3.85	0.027032	0.192537	
3.86	0.0270591	0.194557	
3.87	0.0270862	0.196586	
3.88	0.0271133	0.198625	
3.89	0.0271404	0.200673	
3.9	0.0271675	0.202729	
3.91	0.0271947	0.204795	
3.92	0.0272219	0.206868	
3.93	0.0272492	0.20895	
3.94	0.0272764	0.211039	
3.95	0.0273037	0.213136	
3.96	0.027331	0.21524	
3.97	0.0273584	0.217351	
3.98	0.0273858	0.219468	
3.99	0.0274132	0.221591	
4	0.0274406	0.22372	
4.01	0.027468	0.225854	
4.02	0.0274955	0.227993	
4.03	0.027523	0.230136	
4.04	0.0275506	0.232284	
4.05	0.0275781	0.234435	
4.06	0.0276057	0.236589	
4.07	0.0276333	0.238747	
4.08	0.027661	0.240907	
4.09	0.0276887	0.243068	
4.1	0.0277164	0.245232	
4.11	0.0277441	0.247396	
4.12	0.0277719	0.249561	
4.13	0.0277996	0.251726	
4.14	0.0278275	0.253891	
4.15	0.0278553	0.256054	
4.16	0.0278832	0.258217	
4.17	0.0279111	0.260377	
4.18	0.027939	0.262535	
4.19	0.0279669	0.26469	
4.2	0.0279949	0.266842	
4.21	0.0280229	0.268989	
4.22	0.028051	0.271132	
4.23	0.028079	0.27327	
4.24	0.0281071	0.275402	
4.25	0.0281352	0.277528	
4.26	0.0281634	0.279646	
4.27	0.0281916	0.281758	
4.28	0.0282198	0.283861	
4.29	0.028248	0.285956	
4.3	0.0282763	0.288041	
4.31	0.0283046	0.290117	
4.32	0.0283329	0.292182	
4.33	0.0283612	0.294236	
4.34	0.0283896	0.296278	
4.35	0.028418	0.298308	
4.36	0.0284464	0.300325	
4.37	0.0284749	0.302328	
4.38	0.0285034	0.304317	
4.39	0.0285319	0.306292	
4.4	0.0285605	0.30825	
4.41	0.028589	0.310193	
4.42	0.0286176	0.312119	
4.43	0.0286463	0.314027	
4.44	0.0286749	0.315917	
4.45	0.0287036	0.317789	
4.46	0.0287323	0.319641	
4.47	0.0287611	0.321473	
4.48	0.0287899	0.323284	
4.49	0.0288187	0.325074	
4.5	0.0288475	0.326842	
4.51	0.0288764	0.328588	
4.52	0.0289052	0.33031	
4.53	0.0289342	0.332009	
4.54	0.0289631	0.333682	
4.55	0.0289921	0.335331	
4.56	0.0290211	0.336954	
4.57	0.0290501	0.338551	
4.58	0.0290792	0.34012	
4.59	0.0291083	0.341662	
4.6	0.0291374	0.343176	
4.61	0.0291666	0.344661	
4.62	0.0291957	0.346117	
4.63	0.029225	0.347543	
4.64	0.0292542	0.348938	
4.65	0.0292835	0.350302	
4.66	0.0293128	0.351635	
4.67	0.0293421	0.352935	
4.68	0.0293714	0.354203	
4.69	0.0294008	0.355438	
4.7	0.0294302	0.356638	
4.71	0.0294597	0.357805	
4.72	0.0294892	0.358937	
4.73	0.0295187	0.360033	
4.74	0.0295482	0.361094	
4.75	0.0295778	0.362119	
4.76	0.0296074	0.363108	
4.77	0.029637	0.364059	
4.78	0.0296666	0.364973	
4.79	0.0296963	0.365849	
4.8	0.029726	0.366687	
4.81	0.0297558	0.367487	
4.82	0.0297855	0.368248	
4.83	0.0298153	0.368969	
4.84	0.0298452	0.369651	
4.85	0.029875	0.370294	
4.86	0.0299049	0.370896	
4.87	0.0299348	0.371458	
4.88	0.0299648	0.371979	
4.89	0.0299948	0.372459	
4.9	0.0300248	0.372899	
4.91	0.0300548	0.373297	
4.92	0.0300849	0.373653	
4.93	0.030115	0.373968	
4.94	0.0301451	0.374242	
4.95	0.0301753	0.374473	
4.96	0.0302055	0.374663	
4.97	0.0302357	0.37481	
4.98	0.0302659	0.374916	
4.99	0.0302962	0.374979	
5	0.0303265	0.375	
5.01	0.0303569	0.374979	
5.02	0.0303872	0.374916	
5.03	0.0304176	0.37481	
5.04	0.0304481	0.374663	
5.05	0.0304785	0.374473	
5.06	0.030509	0.374242	
5.07	0.0305396	0.373968	
5.08	0.0305701	0.373653	
5.09	0.0306007	0.373297	
5.1	0.0306313	0.372899	
5.11	0.030662	0.372459	
5.12	0.0306926	0.371979	
5.13	0.0307234	0.371458	
5.14	0.0307541	0.370896	
5.15	0.0307849	0.370294	
5.16	0.0308157	0.369651	
5.17	0.0308465	0.368969	
5.18	0.0308774	0.368248	
5.19	0.0309082	0.367487	
5.2	0.0309392	0.366687	
5.21	0.0309701	0.365849	
5.22	0.0310011	0.364973	
5.23	0.0310321	0.364059	
5.24	0.0310632	0.363108	
5.25	0.0310943	0.362119	
5.26	0.0311254	0.361094	
5.27	0.0311565	0.360033	
5.28	0.0311877	0.358937	
5.29	0.0312189	0.357805	
5.3	0.0312501	0.356638	
5.31	0.0312814	0.355438	
5.32	0.0313127	0.354203	
5.33	0.031344	0.352935	
5.34	0.0313754	0.351635	
5.35	0.0314068	0.350302	
5.36	0.0314382	0.348938	
5.37	0.0314696	0.347543	
5.38	0.0315011	0.346117	
5.39	0.0315326	0.344661	
5.4	0.0315642	0.343176	
