 x	data2	data1	
4.96	0.697945	0.514996	
4.97	0.697643	0.511248	
4.98	0.697341	0.507499	
4.99	0.697038	0.50375	
5	0.696735	0.5	
5.01	0.696431	0.49625	
5.02	0.696128	0.492501	
5.03	0.695824	0.488752	
5.04	0.695519	0.485004	
5.05	0.695215	0.481259	
5.06	0.69491	0.477515	
5.07	0.694604	0.473774	
5.08	0.694299	0.470036	
5.09	0.693993	0.466301	
5.1	0.693687	0.46257	
5.11	0.69338	0.458843	
5.12	0.693074	0.455121	
5.13	0.692766	0.451404	
5.14	0.692459	0.447692	
5.15	0.692151	0.443986	
5.16	0.691843	0.440286	
5.17	0.691535	0.436593	
5.18	0.691226	0.432907	
5.19	0.690918	0.429228	
5.2	0.690608	0.425557	
5.21	0.690299	0.421895	
5.22	0.689989	0.418241	
5.23	0.689679	0.414595	
5.24	0.689368	0.41096	
5.25	0.689057	0.407333	
5.26	0.688746	0.403717	
5.27	0.688435	0.400112	
5.28	0.688123	0.396517	
5.29	0.687811	0.392933	
5.3	0.687499	0.389361	
5.31	0.687186	0.3858	
5.32	0.686873	0.382252	
5.33	0.68656	0.378716	
5.34	0.686246	0.375194	
5.35	0.685932	0.371684	
5.36	0.685618	0.368188	
5.37	0.685304	0.364705	
5.38	0.684989	0.361237	
5.39	0.684674	0.357783	
5.4	0.684358	0.354344	
5.41	0.684042	0.350919	
5.42	0.683726	0.347511	
5.43	0.68341	0.344117	
5.44	0.683093	0.34074	
5.45	0.682776	0.337378	
5.46	0.682459	0.334033	
5.47	0.682141	0.330705	
5.48	0.681823	0.327393	
5.49	0.681505	0.324098	
5.5	0.681186	0.320821	
5.51	0.680867	0.317562	
5.52	0.680548	0.31432	
5.53	0.680228	0.311096	
5.54	0.679908	0.30789	
5.55	0.679588	0.304703	
5.56	0.679267	0.301535	
5.57	0.678946	0.298385	
5.58	0.678625	0.295254	
5.59	0.678304	0.292143	
5.6	0.677982	0.28905	
5.61	0.67766	0.285978	
5.62	0.677337	0.282925	
5.63	0.677014	0.279891	
5.64	0.676691	0.276878	
5.65	0.676368	0.273885	
5.66	0.676044	0.270912	
5.67	0.67572	0.267959	
5.68	0.675395	0.265027	
5.69	0.675071	0.262116	
5.7	0.674745	0.259225	
5.71	0.67442	0.256355	
5.72	0.674094	0.253506	
5.73	0.673768	0.250678	
5.74	0.673442	0.247871	
5.75	0.673115	0.245085	
5.76	0.672788	0.24232	
5.77	0.672461	0.239577	
5.78	0.672133	0.236855	
5.79	0.671805	0.234154	
5.8	0.671477	0.231475	
5.81	0.671148	0.228818	
5.82	0.670819	0.226181	
5.83	0.67049	0.223567	
5.84	0.67016	0.220974	
5.85	0.66983	0.218403	
5.86	0.6695	0.215853	
5.87	0.669169	0.213325	
5.88	0.668838	0.210818	
5.89	0.668507	0.208334	
5.9	0.668175	0.20587	
5.91	0.667843	0.203429	
5.92	0.667511	0.201009	
